iter	Passed	Remaining
0	1	167
1	2	144
2	4	140
3	5	132
4	6	130
5	8	129
6	10	133
7	11	136
8	13	139
9	15	136
10	16	132
11	17	130
12	18	127
13	20	124
14	21	123
15	23	124
16	25	124
17	27	123
18	28	122
19	30	121
20	31	119
21	33	117
22	34	115
23	35	113
24	37	113
25	39	111
26	41	112
27	43	111
28	44	109
29	46	107
30	47	105
31	49	104
32	50	102
33	51	100
34	53	99
35	55	98
36	57	97
37	59	96
38	60	94
39	61	92
40	63	90
41	63	88
42	65	86
43	66	84
44	67	83
45	69	81
46	71	80
47	73	79
48	74	77
49	75	75
50	77	74
51	78	72
52	79	70
53	81	69
54	82	67
55	84	66
56	86	65
57	88	63
58	89	62
59	90	60
60	92	59
61	93	57
62	95	55
63	96	54
64	97	52
65	99	51
66	101	49
67	103	48
68	104	46
69	105	45
70	107	43
71	108	42
72	109	40
73	111	39
74	112	37
75	114	36
76	115	34
77	117	33
78	118	31
79	120	30
80	121	28
81	122	26
82	124	25
83	126	24
84	127	22
85	129	21
86	131	19
87	133	18
88	134	16
89	136	15
90	137	13
91	139	12
92	140	10
93	141	9
94	143	7
95	145	6
96	147	4
97	148	3
98	149	1
99	151	0
