iter	Passed	Remaining
0	145	144986
1	146	73044
2	147	49023
3	148	36996
4	149	29816
5	151	25022
6	152	21606
7	153	19051
8	154	17061
9	156	15523
10	158	14248
11	159	13152
12	160	12221
13	162	11424
14	163	10737
15	164	10128
16	166	9598
17	167	9149
18	169	8741
19	170	8376
20	172	8049
21	173	7733
22	175	7438
23	176	7166
24	177	6919
25	178	6692
26	179	6479
27	181	6286
28	182	6102
29	183	5933
30	184	5782
31	186	5656
32	188	5518
33	189	5385
34	190	5261
35	192	5142
36	193	5034
37	194	4935
38	196	4839
39	197	4748
40	199	4660
41	200	4576
42	202	4499
43	203	4420
44	204	4343
45	205	4270
46	206	4195
47	208	4128
48	209	4066
49	210	4005
50	212	3947
51	213	3892
52	215	3843
53	216	3799
54	218	3747
55	219	3694
56	220	3644
57	221	3595
58	222	3548
59	223	3504
60	224	3462
61	226	3422
62	227	3384
63	228	3347
64	230	3311
65	231	3280
66	232	3244
67	234	3210
68	235	3177
69	236	3145
70	238	3114
71	239	3084
72	240	3056
73	241	3027
74	243	3002
75	244	2975
76	246	2953
77	247	2926
78	248	2900
79	250	2875
80	251	2852
81	252	2829
82	253	2798
83	254	2776
84	256	2757
85	257	2738
86	259	2719
87	260	2697
88	261	2677
89	262	2656
90	263	2635
91	265	2616
92	266	2599
93	267	2580
94	269	2565
95	270	2549
96	272	2533
97	273	2518
98	274	2501
99	276	2488
100	277	2472
101	278	2455
102	280	2439
103	281	2423
104	282	2410
105	284	2396
106	285	2383
107	287	2370
108	288	2358
109	289	2345
110	291	2336
111	293	2323
112	294	2308
113	295	2295
114	296	2283
115	298	2270
116	298	2256
117	300	2245
118	301	2234
119	303	2224
120	304	2212
121	305	2201
122	307	2190
123	308	2179
124	309	2167
125	311	2157
126	312	2144
127	313	2136
128	315	2127
129	316	2117
130	317	2108
131	319	2099
132	320	2088
133	321	2079
134	322	2069
135	324	2059
136	325	2049
137	326	2040
138	327	2031
139	329	2022
140	330	2014
141	331	2002
142	332	1995
143	334	1986
